ref_branch_code,material_nature_sum_desc,CV,seasonal_strength,residual_cv,length,CV_pct,Fs_pct,ResCV_pct,score,predictability_level
CAT_078,CAT_007,0.6738805071987467,0.5104370133945789,0.46374624007423837,33,0.3996307042996571,0.481139541018201,0.5058032181482458,53.14428910577684,medium
CAT_078,CAT_008,2.2599426992754688,0.7427977393121412,1.2959752068675345,40,0.9832498021630177,0.7947771036665787,0.9531785808493801,33.397520443154846,low
CAT_078,CAT_009,2.6398332992548204,0.0019033028841034527,2.348834938477071,40,0.9950540754418359,0.0011870218939593776,0.9950540754418359,0.3442363492482221,low
CAT_078,CAT_010,1.7024710107044967,0.22458830372205107,1.5759941599748795,40,0.9599050382484833,0.10182010023740438,0.9712476919018729,6.251648641519386,low
CAT_082,CAT_001,0.4185188566372237,0.5862047491707179,0.2999158357037782,39,0.04075441835927196,0.5990503824848324,0.20601424426272752,78.21155367976787,high
CAT_082,CAT_002,0.31825361428003857,0.8238338511017677,0.1170746043158002,24,0.006594566077552097,0.8674492218412029,0.06502242152466367,93.13373780005276,high
CAT_082,CAT_003,1.4748405908271767,0.10075337301216047,1.363108986614803,39,0.9413083619097863,0.034951200211026115,0.9595093642838302,4.555526246372991,low
CAT_082,CAT_004,0.4202157966809625,0.5817616444124494,0.30099609628631435,33,0.04233711421788446,0.5920601424426273,0.20799261408599315,77.82906884726985,high
CAT_082,CAT_005,1.366979016955344,0.6604451905179798,1.2932122278219074,36,0.924426272751253,0.698100764969665,0.9525191242416249,31.89659720390398,low
CAT_082,CAT_007,0.4242483188343161,0.981780838302063,0.05400030076307215,24,0.044579266684252175,0.9459245581640728,0.040622527037720915,95.2413611184384,high
CAT_082,CAT_008,0.7381376345960382,0.6598901227097584,0.5219820291454681,39,0.5192561329464521,0.6970456343972566,0.6023476655236085,55.06462674756002,medium
CAT_082,CAT_009,0.7667184371292839,0.5813070136141406,0.643421051425639,39,0.5673964653125825,0.591400685834872,0.7529675547348984,45.900817726193615,low
CAT_082,CAT_010,0.6109153644092618,0.6297960064962309,0.41510262339444276,39,0.28369823265629124,0.6598522817198629,0.41624901081508836,66.7211817462411,medium
CAT_090,CAT_001,0.48761593293854477,0.7463493573713718,0.21331139468221866,33,0.10577683988393563,0.7986019519915589,0.1056449485623846,85.60010551305723,high
CAT_090,CAT_002,0.8559596049600022,0.7907214619012725,0.4319371004011372,30,0.6913743075705618,0.842653653389607,0.45067264573991034,57.0377209179636,medium
CAT_090,CAT_003,0.7971796753445242,0.6045969096625308,0.5980610917961658,33,0.6136903191769981,0.6219994724347138,0.7091796359799525,46.14877341070957,low
CAT_090,CAT_004,0.9091295802967861,0.4363261494752593,0.6471382456595131,31,0.7491427064099182,0.35676602479556846,0.7562648377736745,29.179635979952522,low
CAT_090,CAT_005,1.0717526581029113,0.8286143237387582,0.44902789137740423,32,0.8442363492482194,0.87087839620153,0.47902927987338434,51.485096280664735,medium
CAT_090,CAT_007,0.5460785993374669,0.9675494030305422,0.09421375984502336,32,0.1837246109206014,0.9362964916908467,0.05539435505143762,88.99498812978106,high
CAT_090,CAT_008,0.5206519410261098,0.7281675386608948,0.25830462645547875,33,0.1465312582432076,0.7797414930097599,0.1462674756001055,82.40305987865999,high
CAT_090,CAT_009,0.3444244354940719,0.7833233816372678,0.14262256914951318,30,0.010287523080981272,0.8356634133474018,0.07227644420997098,91.5695067264574,high
CAT_090,CAT_010,0.7803869367715173,0.7381085539980174,0.470650886792493,32,0.5882352941176471,0.7905565813769454,0.5176734370878396,57.73938274861514,medium
CAT_097,CAT_001,0.49975372176344673,0.3630236731246542,0.44767191042755294,39,0.11962542864679504,0.2480875758375099,0.4763914534423635,55.61065681878134,medium
CAT_097,CAT_002,0.4900414838741672,0.7033469976510967,0.2969903063361989,36,0.1088103402796096,0.7529675547348984,0.20021102611448166,81.76206805592193,high
CAT_097,CAT_003,0.67206336047516,0.7697941234494499,0.36325050524611235,38,0.39554207333157476,0.8243207596940121,0.32089158533368506,70.7333157478238,medium
CAT_097,CAT_005,2.1055308137923823,0.9746281308480899,0.3286331796217233,39,0.9792930625164864,0.9394618834080718,0.2562648377736745,53.281456080189926,medium
CAT_097,CAT_007,0.8142357045333608,0.7845726026876358,0.3646632041247963,35,0.6396729095225534,0.8368504352413612,0.323925085729359,61.40859931416514,medium
CAT_097,CAT_008,0.5351138699372655,0.6540654195762504,0.3828969671035586,38,0.16948034819308888,0.6879451332102348,0.3557108942231601,73.62437351622265,high
CAT_097,CAT_009,0.40633751296740217,0.7844743457321129,0.19872847950639955,38,0.03336850435241361,0.836454761276708,0.09628066473226062,90.19783698232658,high
CAT_097,CAT_010,0.7792378496457826,0.6494450320703719,0.5181257906194862,39,0.5865207069374835,0.6810867844895806,0.59746768662622,51.83328936955949,medium
CAT_100,CAT_001,0.6444039258817539,0.6028917617466272,0.5376986691544013,40,0.3447639145344236,0.619757319968346,0.6271432339752044,58.456871537852805,medium
CAT_100,CAT_002,0.9247510138708561,0.7763769055524886,0.4912936865276357,30,0.7603534687417568,0.830123977842258,0.5548667897652334,51.693484568715384,medium
CAT_100,CAT_003,0.7342777630890103,0.6176847385993027,0.4898929127373604,39,0.5117383276180427,0.6423107359535742,0.5515695067264574,54.191506198892114,medium
CAT_100,CAT_005,0.4903199281093923,0.6396531670590643,0.3456115636787319,36,0.10907412292271168,0.6706673700870482,0.28659984173041414,76.7317330519652,high
CAT_100,CAT_008,1.0180807786738435,0.686847323392252,0.7431850088525337,39,0.8174624109733579,0.7313373780005276,0.8289369559482986,39.976259562120816,low
CAT_100,CAT_009,0.21877551189051198,0.7873076688306205,0.08925265503088742,34,0.0007913479293062516,0.8392244790292799,0.05367976787127407,92.46372988657347,high
CAT_100,CAT_010,0.7814857350925146,0.989002668536289,0.07952002636537217,39,0.5898179899762596,0.952782906884727,0.05091005011870219,73.50039567396466,high
CAT_1006,CAT_001,0.4168980638977481,0.6984224455057364,0.2059124939259588,61,0.039303613822210495,0.7461092060142442,0.10116064362964917,86.24901081508838,high
CAT_1006,CAT_002,0.713909709192664,0.29283145866712124,0.7126767403239003,60,0.474940648905302,0.1597203903983118,0.8103402796096016,31.18438406752836,low
CAT_1006,CAT_003,0.8283151248232672,0.5992035224632184,0.46123249611426453,61,0.6578739118965972,0.616196254286468,0.5015826958586125,48.301239778422584,low
CAT_1006,CAT_004,0.7878127238420678,0.4127648104670455,0.6775359957387121,61,0.5999736217356898,0.3189132155104194,0.7838301239778422,33.08098127143234,low
CAT_1006,CAT_005,1.7723233904340057,0.12582326344302863,1.5784819943875503,59,0.9638617778950145,0.04405170139804801,0.971643365866526,3.7747296227908214,low
CAT_1006,CAT_007,0.6934087136832965,0.4905509479750204,0.46180101644039784,57,0.437087839620153,0.45120021102611446,0.5023740437879187,50.517013980480094,low
CAT_1006,CAT_008,0.4747501350050983,0.6705486515946422,0.28537206810884613,61,0.09074122922711686,0.7103666578739118,0.18253758902664205,81.13426536533898,high
CAT_1006,CAT_009,0.8875897881845801,0.6208487264919533,0.5253316794552045,61,0.7281719862833026,0.6463993669216566,0.6080189923503033,44.56871537852809,low
CAT_1006,CAT_010,0.4365237925464017,0.5962723919442443,0.23605373572576488,61,0.05328409390662094,0.6125032972830388,0.1245054075441836,79.87865998417305,high
CAT_1012,CAT_001,0.4047801702300933,0.6652844078434508,0.2150620524837727,61,0.03244526510155632,0.704695331047217,0.10683197045634397,84.75336322869956,high
CAT_1012,CAT_002,0.8990534080837677,0.5353753561390397,0.5805802256115434,61,0.7395146399366922,0.5196518069111052,0.6843840675283567,37.517805328409395,low
CAT_1012,CAT_003,0.8454604342465095,0.3999477586937811,0.6229311616145895,61,0.6783170667370088,0.2980743867053548,0.7346346610393036,30.09759957794777,low
